query_name,plan_size,true_cost,compass_est,psql_est,plan
101_46,9,762512.0,15826.0,225505.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_47,9,728223.0,15826.0,182071.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_48,9,1311065.0,15826.0,161600.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_49,9,1017178.0,15826.0,248633.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_5,9,683899.0,15826.0,186198.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_50,9,875262.0,15826.0,178476.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_6,9,1066744.0,15826.0,195431.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_7,9,775271.0,15826.0,213134.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_8,9,803384.0,15826.0,282426.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_9,9,1020014.0,15826.0,183599.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
13a_1,6,5791872.600000001,15832.0,19117.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_10,6,5792022.600000001,15832.0,19151.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_11,6,5791480.600000001,15832.0,19033.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_12,6,5792206.600000001,15832.0,19171.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_13,6,5791824.600000001,15832.0,19109.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_14,6,5791546.600000001,15832.0,19045.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_15,6,5791966.600000001,15832.0,19129.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_16,6,5791750.600000001,15832.0,19093.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_17,6,5791890.600000001,15832.0,19115.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_18,6,5792362.600000001,15832.0,19211.4,hd-ss s-ss ca-ss cd-ss d-ss
