Query,Join_size,True,Psql_est,Compass_estPlan
10_24_5,4,440937.0,43504.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_25_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_25_1,2,121379.0,39529.0,-1,"['customer-c', 'orders-o']"
10_25_2,2,220744.0,46524.0,-1,"['lineitem-l', 'orders-o']"
10_25_3,3,121379.0,39529.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_25_4,3,220744.0,46524.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_25_5,4,220744.0,46524.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_26_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_26_1,2,121702.0,39388.0,-1,"['customer-c', 'orders-o']"
10_26_2,2,442841.0,46358.0,-1,"['lineitem-l', 'orders-o']"
10_26_3,3,121702.0,39388.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_26_4,3,442841.0,46358.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_26_5,4,442841.0,46358.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_27_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_27_1,2,64394.0,21741.0,-1,"['customer-c', 'orders-o']"
10_27_2,2,110522.0,25588.0,-1,"['lineitem-l', 'orders-o']"
10_27_3,3,64394.0,21741.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_27_4,3,110522.0,25588.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_27_5,4,110522.0,25588.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_28_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_28_1,2,121078.0,39191.0,-1,"['customer-c', 'orders-o']"
10_28_2,2,441909.0,46126.0,-1,"['lineitem-l', 'orders-o']"
10_28_3,3,121078.0,39191.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_28_4,3,441909.0,46126.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_28_5,4,441909.0,46126.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_29_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_29_1,2,121463.0,37263.0,-1,"['customer-c', 'orders-o']"
10_29_2,2,442834.0,43857.0,-1,"['lineitem-l', 'orders-o']"
10_29_3,3,121463.0,37263.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_29_4,3,442834.0,43857.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_29_5,4,442834.0,43857.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_3_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_3_1,2,121985.0,40648.0,-1,"['customer-c', 'orders-o']"
10_3_2,2,444038.0,47841.0,-1,"['lineitem-l', 'orders-o']"
10_3_3,3,121985.0,40648.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_3_4,3,444038.0,47841.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_3_5,4,444038.0,47841.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_30_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_30_1,2,122751.0,37563.0,-1,"['customer-c', 'orders-o']"
10_30_2,2,444780.0,44210.0,-1,"['lineitem-l', 'orders-o']"
10_30_3,3,122751.0,37563.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_30_4,3,444780.0,44210.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_30_5,4,444780.0,44210.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_31_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_31_1,2,122961.0,39766.0,-1,"['customer-c', 'orders-o']"
10_31_2,2,444720.0,46803.0,-1,"['lineitem-l', 'orders-o']"
10_31_3,3,122961.0,39766.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_31_4,3,444720.0,46803.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_31_5,4,444720.0,46803.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_32_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_32_1,2,121502.0,37274.0,-1,"['customer-c', 'orders-o']"
10_32_2,2,442908.0,43869.0,-1,"['lineitem-l', 'orders-o']"
10_32_3,3,121502.0,37274.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_32_4,3,442908.0,43869.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_32_5,4,442908.0,43869.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_33_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_33_1,2,120769.0,39348.0,-1,"['customer-c', 'orders-o']"
10_33_2,2,220744.0,46311.0,-1,"['lineitem-l', 'orders-o']"
10_33_3,3,120769.0,39348.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_33_4,3,220744.0,46311.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_33_5,4,220744.0,46311.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_34_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_34_1,2,64379.0,21430.0,-1,"['customer-c', 'orders-o']"
10_34_2,2,110522.0,25222.0,-1,"['lineitem-l', 'orders-o']"
10_34_3,3,64379.0,21430.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_34_4,3,110522.0,25222.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_34_5,4,110522.0,25222.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_35_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_35_1,2,63789.0,21296.0,-1,"['customer-c', 'orders-o']"
10_35_2,2,110522.0,25064.0,-1,"['lineitem-l', 'orders-o']"
10_35_3,3,63789.0,21296.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_35_4,3,110522.0,25064.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_35_5,4,110522.0,25064.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_36_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_36_1,2,122346.0,39569.0,-1,"['customer-c', 'orders-o']"
10_36_2,2,443808.0,46571.0,-1,"['lineitem-l', 'orders-o']"
10_36_3,3,122346.0,39569.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_36_4,3,443808.0,46571.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_36_5,4,443808.0,46571.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_37_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_37_1,2,122646.0,39863.0,-1,"['customer-c', 'orders-o']"
10_37_2,2,220744.0,46917.0,-1,"['lineitem-l', 'orders-o']"
10_37_3,3,122646.0,39863.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_37_4,3,220744.0,46917.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_37_5,4,220744.0,46917.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_38_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_38_1,2,121360.0,40493.0,-1,"['customer-c', 'orders-o']"
10_38_2,2,443080.0,47658.0,-1,"['lineitem-l', 'orders-o']"
10_38_3,3,121360.0,40493.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_38_4,3,443080.0,47658.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_38_5,4,443080.0,47658.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_39_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_39_1,2,122037.0,39353.0,-1,"['customer-c', 'orders-o']"
10_39_2,2,220744.0,46316.0,-1,"['lineitem-l', 'orders-o']"
10_39_3,3,122037.0,39353.0,-1,"['customer-c', 'nation-n', 'orders-o']"
