Query,Join_size,True,Psql_est,Compass_estPlan
7_19_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_19_9,4,4317768.0,867335.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_2_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_2_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_2_10,4,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_2_11,4,124226.0,1248.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_2_12,5,124226.0,1248.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_2_13,5,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_2_14,6,124226.0,1248.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_2_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_2_3,2,686610.0,137187.0,-1,"['lineitem-l', 'supplier-s']"
7_2_4,2,686610.0,137187.0,-1,"['lineitem-l', 'orders-o']"
7_2_5,3,686610.0,137187.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_2_6,3,124226.0,1248.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_2_7,3,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_2_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_2_9,4,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_20_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_20_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_20_10,4,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_20_11,4,248089.0,2499.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_20_12,5,248089.0,2499.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_20_13,5,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_20_14,6,248089.0,2499.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_20_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_20_3,2,1371673.0,274651.0,-1,"['lineitem-l', 'supplier-s']"
7_20_4,2,1371673.0,274651.0,-1,"['lineitem-l', 'orders-o']"
7_20_5,3,1371673.0,274651.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_20_6,3,248089.0,2499.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_20_7,3,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_20_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_20_9,4,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_21_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_21_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_21_10,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_21_11,4,451904.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_21_12,5,451904.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_21_13,5,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_21_14,6,451904.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_21_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_21_3,2,2355321.0,474563.0,-1,"['lineitem-l', 'supplier-s']"
7_21_4,2,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o']"
7_21_5,3,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_21_6,3,451904.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_21_7,3,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_21_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_21_9,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_22_0,2,1802.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_22_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_22_10,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_22_11,4,451238.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_22_12,5,451238.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_22_13,5,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_22_14,6,451238.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_22_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_22_3,2,2355321.0,474563.0,-1,"['lineitem-l', 'supplier-s']"
7_22_4,2,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o']"
7_22_5,3,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_22_6,3,451238.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_22_7,3,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_22_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_22_9,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_23_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_23_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_23_10,4,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_23_11,4,124965.0,1248.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_23_12,5,124965.0,1248.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_23_13,5,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_23_14,6,124965.0,1248.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_23_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_23_3,2,686610.0,137187.0,-1,"['lineitem-l', 'supplier-s']"
7_23_4,2,686610.0,137187.0,-1,"['lineitem-l', 'orders-o']"
7_23_5,3,686610.0,137187.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_23_6,3,124965.0,1248.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_23_7,3,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_23_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_23_9,4,686610.0,137187.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_24_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_24_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_24_10,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_24_11,4,653879.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_24_12,5,653879.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_24_13,5,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_24_14,6,653879.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_24_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_24_3,2,3334120.0,667423.0,-1,"['lineitem-l', 'supplier-s']"
7_24_4,2,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o']"
7_24_5,3,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_24_6,3,653879.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_24_7,3,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_24_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_24_9,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_25_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_25_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_25_10,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_25_11,4,450076.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_25_12,5,450076.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_25_13,5,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_25_14,6,450076.0,4319.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_25_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_25_3,2,2355321.0,474563.0,-1,"['lineitem-l', 'supplier-s']"
7_25_4,2,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o']"
7_25_5,3,2355321.0,474563.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_25_6,3,450076.0,4319.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_25_7,3,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_25_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_25_9,4,2355321.0,474563.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_26_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_26_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_26_10,4,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_26_11,4,248945.0,2499.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_26_12,5,248945.0,2499.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_26_13,5,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_26_14,6,248945.0,2499.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_26_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_26_3,2,1371673.0,274651.0,-1,"['lineitem-l', 'supplier-s']"
7_26_4,2,1371673.0,274651.0,-1,"['lineitem-l', 'orders-o']"
7_26_5,3,1371673.0,274651.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_26_6,3,248945.0,2499.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_26_7,3,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_26_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_26_9,4,1371673.0,274651.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_27_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_27_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_27_10,4,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_27_11,4,450617.0,4326.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_27_12,5,450617.0,4326.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_27_13,5,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_27_14,6,450617.0,4326.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_27_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_27_3,2,2354042.0,475406.0,-1,"['lineitem-l', 'supplier-s']"
7_27_4,2,2354042.0,475406.0,-1,"['lineitem-l', 'orders-o']"
7_27_5,3,2354042.0,475406.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_27_6,3,450617.0,4326.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_27_7,3,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_27_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_27_9,4,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_28_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_28_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_28_10,4,1668979.0,337941.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_28_11,4,326759.0,3075.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_28_12,5,326759.0,3075.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_28_13,5,1668979.0,337941.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_28_14,6,326759.0,3075.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_28_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_28_3,2,1668979.0,337941.0,-1,"['lineitem-l', 'supplier-s']"
7_28_4,2,1668979.0,337941.0,-1,"['lineitem-l', 'orders-o']"
7_28_5,3,1668979.0,337941.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_28_6,3,326759.0,3075.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_28_7,3,1668979.0,337941.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_28_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_28_9,4,1668979.0,337941.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_29_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_29_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_29_10,4,4287054.0,855643.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_29_11,4,776912.0,7786.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_29_12,5,776912.0,7786.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_29_13,5,4287054.0,855643.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_29_14,6,776912.0,7786.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_29_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_29_3,2,4287054.0,855643.0,-1,"['lineitem-l', 'supplier-s']"
7_29_4,2,4287054.0,855643.0,-1,"['lineitem-l', 'orders-o']"
7_29_5,3,4287054.0,855643.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_29_6,3,776912.0,7786.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_29_7,3,4287054.0,855643.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_29_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_29_9,4,4287054.0,855643.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_3_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_3_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_3_10,4,2649057.0,529959.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_3_11,4,528732.0,4823.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_3_12,5,528732.0,4823.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_3_13,5,2649057.0,529959.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_3_14,6,528732.0,4823.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_3_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_3_3,2,2649057.0,529959.0,-1,"['lineitem-l', 'supplier-s']"
7_3_4,2,2649057.0,529959.0,-1,"['lineitem-l', 'orders-o']"
7_3_5,3,2649057.0,529959.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_3_6,3,528732.0,4823.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_3_7,3,2649057.0,529959.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_3_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_3_9,4,2649057.0,529959.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_30_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_30_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_30_10,4,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_30_11,4,980022.0,9606.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_30_12,5,980022.0,9606.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_30_13,5,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_30_14,6,980022.0,9606.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_30_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_30_3,2,5270702.0,1055555.0,-1,"['lineitem-l', 'supplier-s']"
7_30_4,2,5270702.0,1055555.0,-1,"['lineitem-l', 'orders-o']"
7_30_5,3,5270702.0,1055555.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_30_6,3,980022.0,9606.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_30_7,3,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_30_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_30_9,4,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_31_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_31_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_31_10,4,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_31_11,4,1051796.0,9606.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_31_12,5,1051796.0,9606.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_31_13,5,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_31_14,6,1051796.0,9606.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_31_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_31_3,2,5270702.0,1055555.0,-1,"['lineitem-l', 'supplier-s']"
7_31_4,2,5270702.0,1055555.0,-1,"['lineitem-l', 'orders-o']"
7_31_5,3,5270702.0,1055555.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_31_6,3,1051796.0,9606.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_31_7,3,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_31_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_31_9,4,5270702.0,1055555.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_32_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_32_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_32_10,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_32_11,4,653829.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_32_12,5,653829.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_32_13,5,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_32_14,6,653829.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_32_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_32_3,2,3334120.0,667423.0,-1,"['lineitem-l', 'supplier-s']"
7_32_4,2,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o']"
7_32_5,3,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_32_6,3,653829.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_32_7,3,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_32_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_32_9,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_33_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_33_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_33_10,4,4317768.0,867335.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_33_11,4,854567.0,7893.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_33_12,5,854567.0,7893.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_33_13,5,4317768.0,867335.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_33_14,6,854567.0,7893.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_33_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_33_3,2,4317768.0,867335.0,-1,"['lineitem-l', 'supplier-s']"
7_33_4,2,4317768.0,867335.0,-1,"['lineitem-l', 'orders-o']"
7_33_5,3,4317768.0,867335.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_33_6,3,854567.0,7893.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_33_7,3,4317768.0,867335.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_33_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_33_9,4,4317768.0,867335.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_34_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_34_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_34_10,4,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_34_11,4,451165.0,4326.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_34_12,5,451165.0,4326.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_34_13,5,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_34_14,6,451165.0,4326.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_34_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_34_3,2,2354042.0,475406.0,-1,"['lineitem-l', 'supplier-s']"
7_34_4,2,2354042.0,475406.0,-1,"['lineitem-l', 'orders-o']"
7_34_5,3,2354042.0,475406.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_34_6,3,451165.0,4326.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_34_7,3,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_34_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_34_9,4,2354042.0,475406.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_35_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_35_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_35_10,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_35_11,4,578079.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_35_12,5,578079.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_35_13,5,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_35_14,6,578079.0,6074.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_35_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_35_3,2,3334120.0,667423.0,-1,"['lineitem-l', 'supplier-s']"
7_35_4,2,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o']"
7_35_5,3,3334120.0,667423.0,-1,"['lineitem-l', 'orders-o', 'supplier-s']"
7_35_6,3,578079.0,6074.0,-1,"['lineitem-l', 'nation-n1', 'supplier-s']"
7_35_7,3,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
7_35_8,3,1500000.0,483871.0,-1,"['customer-c', 'nation-n2', 'orders-o']"
7_35_9,4,3334120.0,667423.0,-1,"['customer-c', 'lineitem-l', 'orders-o', 'supplier-s']"
7_36_0,2,1801.0,91.0,-1,"['nation-n1', 'supplier-s']"
7_36_1,2,150000.0,62500.0,-1,"['customer-c', 'nation-n2']"
7_36_10,4,3601991.0,718179.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o']"
7_36_11,4,725961.0,6535.0,-1,"['lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_36_12,5,725961.0,6535.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'orders-o', 'supplier-s']"
7_36_13,5,3601991.0,718179.0,-1,"['customer-c', 'lineitem-l', 'nation-n2', 'orders-o', 'supplier-s']"
7_36_14,6,725961.0,6535.0,-1,"['customer-c', 'lineitem-l', 'nation-n1', 'nation-n2', 'orders-o', 'supplier-s']"
7_36_2,2,1500000.0,483871.0,-1,"['customer-c', 'orders-o']"
7_36_3,2,3601991.0,718179.0,-1,"['lineitem-l', 'supplier-s']"
