query,join_size,true,psql_est,compass_est,plan
41_6,4,3243247,2804912,1.07745e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
42_0,2,455223,304752,431992,"['movie_info_idx-mi_idx', 'title-t']"
42_1,2,143567,108501,147940,"['movie_info-mi', 'title-t']"
42_2,2,1253091,1062999,1.27445e+06,"['movie_keyword-mk', 'title-t']"
42_3,3,850677,1106439,7.74614e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
42_4,3,1384108,4149204,1.38584e+07,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
42_5,3,125530,317205,465027,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
42_6,4,1043763,4318763,1.96443e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
43_0,2,121863,76030,115923,"['cast_info-ci', 'title-t']"
43_1,2,36244344,21349889,2.97337e+07,"['movie_info_idx-mi_idx', 'title-t']"
43_2,2,459925,270622,461314,"['movie_info-mi', 'title-t']"
43_3,3,13626495,10385343,1.46395e+07,"['cast_info-ci', 'movie_info-mi', 'title-t']"
43_4,3,45431,78845,354205,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
43_5,3,2766914,2917711,6.35136e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
43_6,4,1831108,3025749,6.22666e+07,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
44_0,2,457047,237014,443035,"['cast_info-ci', 'title-t']"
44_1,2,10385830,5521606,8.27287e+06,"['movie_info_idx-mi_idx', 'title-t']"
44_2,2,84173,70248,83086,"['movie_info-mi', 'title-t']"
44_3,3,2840669,2695842,9.75849e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
44_4,3,96377,246699,241934,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
44_5,3,7290341,9095571,2.78092e+07,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
44_6,4,2936093,9467261,3.43818e+08,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
45_0,2,1533909,916438,1.43538e+06,"['cast_info-ci', 'title-t']"
45_1,2,36244344,21349889,2.97337e+07,"['movie_info_idx-mi_idx', 'title-t']"
45_2,2,459925,270622,461639,"['movie_info-mi', 'title-t']"
45_3,3,13626495,10385343,1.59841e+07,"['cast_info-ci', 'movie_info-mi', 'title-t']"
45_4,3,546205,950372,810029,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
45_5,3,26038298,35169006,4.27603e+07,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
45_6,4,16461908,36471263,6.92197e+08,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
46_0,2,1170186,839213,1.30241e+06,"['movie_companies-mc', 'title-t']"
46_1,2,1798330,951716,1.60204e+06,"['movie_info-mi', 'title-t']"
46_2,2,1970380,1455099,1.89793e+06,"['movie_keyword-mk', 'title-t']"
46_3,3,16657594,7537635,3.88822e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
46_4,3,21795195,12957657,1.75339e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
46_5,3,6621484,4930036,7.09317e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
46_6,4,512575801,67122644,2.44696e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
47_0,2,420388,288410,441526,"['movie_companies-mc', 'title-t']"
47_1,2,669960,327074,608123,"['movie_info-mi', 'title-t']"
47_2,2,777213,500069,718872,"['movie_keyword-mk', 'title-t']"
47_3,3,6670791,2590437,1.11064e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
47_4,3,8542397,4453120,1.43835e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
47_5,3,2557971,1694291,4.68863e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
47_6,4,206778521,23067844,8.49307e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
48_0,2,1508127,1061428,1.54944e+06,"['movie_companies-mc', 'title-t']"
48_1,2,2220025,1203721,1.99427e+06,"['movie_info-mi', 'title-t']"
