query_name,plan_size,true_cost,compass_est,psql_est,plan
6c,5,1065964.0,1362609.3199999998,1065854.0,k-mk t-mk t-ci n-ci
6d,5,4314342.0,14863401.885,1079595.0,k-mk t-mk t-ci n-ci
6e,5,1070728.0,6762566.415,1067530.0,k-mk t-mk t-ci n-ci
6f,5,4314342.0,158220036.2,1079595.0,k-mk t-mk t-ci n-ci
7a,8,917986.6000000001,115773753.2,8285.0,lt-ml ml-t t-ci ci-n n-pi it-pi n-an
7b,8,178174.6,42757356.999999985,6597.0,lt-ml ml-t t-ci ci-n n-pi it-pi n-an
7c,8,3017121.399999998,62487422.774000004,639650.3999999985,lt-ml it-pi n-pi ml-t ci-n t-ci n-an
8a,7,971334.5999999989,1134577.6230000001,517714.80000000005,mc-cn ci-mc ci-rt n-ci ci-t an-n
8b,7,829616.5999999989,531978.4313511007,517033.40000000014,mc-cn t-mc ci-t ci-rt n-ci an-n
8c,7,23572905.199999996,9126607155.2,5218676.6,an-n ci-rt mc-cn t-mc ci-t n-ci
8d,7,11052568.4,10435257074.6,1450988.3999999994,ci-rt an-ci an-n ci-t t-mc mc-cn
9a,8,1921598.1999999997,8672777694.64,1915157.7999999998,an-n n-ci ci-t t-mc mc-cn chn-ci ci-rt
9b,8,1414676.5999999992,33390042.0,559957.8000000004,mc-cn ci-mc ci-rt n-ci ci-t chn-ci an-n
9c,8,2063818.1999999997,3865419945.6000004,1919926.1999999997,an-n n-ci chn-ci ci-t ci-rt t-mc mc-cn
9d,8,6442574.199999999,18863791879.6,2263122.8000000003,mc-cn ci-mc ci-rt chn-ci n-ci ci-t an-n
10a,7,831372.3999999993,2203742.4423000007,832391.5999999993,cn-mc ci-mc rt-ci t-mc chn-ci ct-mc
10b,7,902407.3999999993,1560239.6062,848686.3999999993,cn-mc t-mc ct-mc t-ci rt-ci chn-ci
10c,7,8522041.799999999,368224464.41,4068559.4,cn-mc t-mc t-ci chn-ci ct-mc rt-ci
11a,8,54372.8,236409.93571000017,6157.8,lt-ml ml-t t-mc mc-cn mc-ct t-mk mk-k
11b,8,9709.8,97016.440864526,6103.0,lt-ml ml-t t-mk mk-k t-mc mc-cn mc-ct
11c,8,846776.8,193053.61138244014,2527967.0000000005,lt-ml ml-mk mk-k ml-t t-mc mc-cn mc-ct
11d,8,781242.7999999998,97760.4768460003,272423.7999999998,lt-ml ml-mc mc-ct mc-cn ml-mk mk-k ml-t
12a,8,288446.3999999996,64989.20419999962,318.59999999962747,mi_idx-it2 mi-mi_idx t-mi t-mc ct-mc cn-mc mi-it1
12b,8,276898.999999994,20280665.409999993,28780.60000000149,mi_idx-it2 t-mi_idx mi-mi_idx mi-it1 t-mc cn-mc ct-mc
12c,8,355739.9999999996,183497.72629999963,526.3999999996275,mi_idx-it2 mi-mi_idx t-mi t-mc ct-mc cn-mc mi-it1
13a,9,2458094.599999998,1029661.2977920008,867798.3999999985,cn-mc ct-mc mc-t kt-t mi_idx-mc it1-mi_idx mi-mi_idx it2-mi
13b,9,512814.79999999923,533925.7226773006,505688.8000000003,kt-t mi_idx-t it1-mi_idx mc-t ct-mc cn-mc mi-t it2-mi
13c,9,506991.79999999923,517941.54214370146,505688.8000000003,kt-t mi_idx-t it1-mi_idx mc-t ct-mc cn-mc mi-t it2-mi
13d,9,10766810.599999996,21382139.553725004,3342536.4,it1-mi_idx mi_idx-t kt-t mi_idx-mc cn-mc it2-mi ct-mc mi-t
14a,8,283017.99999999965,286575.3855579996,276190.5999999996,it2-mi_idx t-mi_idx kt-t t-mi t-mk k-mk it1-mi
14b,8,313647.5999999996,318842.3023959997,276341.5999999996,it2-mi_idx t-mi_idx t-mk k-mk kt-t t-mi it1-mi
14c,8,308340.5999999996,287514.00212629954,276196.5999999996,it2-mi_idx t-mi_idx t-mi it1-mi kt-t t-mk k-mk
