query_name,plan_size,true_cost,compass_est,psql_est,plan
17a,7,10042888.400000002,1302601804.4,2547863.4000000022,mk-k mc-cn t-mc ci-mk n-ci ci-t
17b,7,8548132.400000002,232762070.6,2636855.200000003,mk-k mc-cn ci-mk n-ci ci-t t-mc
17c,7,8472176.400000002,113446174.5,2636855.200000003,mk-k mc-cn ci-mk n-ci ci-t t-mc
17d,7,8488684.4,107648668.6,2636855.2,mk-k ci-mk n-ci ci-t mc-cn t-mc
17e,7,13397366.200000003,1094797878.4,2548809.3999999985,mk-k mc-cn t-mc ci-mk n-ci ci-t
17f,7,15099624.400000002,1050444390.8,5706571.200000003,mk-k mc-cn ci-mk n-ci t-mc ci-t
18a,7,23416181.200000003,45686344.19999999,13016854.2,n-ci t-ci it2-mi_idx mi-mi_idx it1-mi t-mi
18b,7,286626.19999999774,529656.5389999978,276209.59999999776,it2-mi_idx mi-mi_idx it1-mi t-mi t-ci n-ci
18c,7,5567596.200000001,14246406.599999998,3039423.1999999993,mi-mi_idx it2-mi_idx it1-mi ci-mi t-mi n-ci
19a,10,14079798.599999998,68583127.29999995,3540446.199999998,cn-mc t-mc ci-an rt-ci n-ci mi-ci it-mi chn-ci t-mi
19b,10,1335355.6,1208227.6351499998,867928.2000000002,cn-mc t-mc t-mi it-mi t-ci rt-ci n-ci chn-ci n-an
19c,10,8164068.200000001,157775533.42999846,4892062.800000002,it-mi mi-ci rt-ci t-mi t-mc cn-mc n-an chn-ci n-ci
19d,10,33012920.000000015,47884412065.89883,14822862.200000001,ci-an cn-mc rt-ci t-mi it-mi t-mc n-ci chn-ci t-ci
20a,10,5641329.000000003,162194.01533655994,27679.800000000745,cct1-cc cct2-cc t-cc kt-t t-ci chn-ci t-mk k-mk n-ci
20b,10,2017441.199999988,162193.96508030637,27679.79999999702,cct1-cc cct2-cc t-cc kt-t mk-cc k-mk t-ci n-ci chn-ci
20c,10,1907292.200000003,162193.9351343555,27679.79999999702,cct1-cc cct2-cc t-cc kt-t t-mk k-mk t-ci chn-ci n-ci
21a,9,209147.7999999998,96172.96713782076,6162.799999999814,lt-ml ml-mc mc-ct ml-mk mk-k ml-mi ml-t mc-cn
21b,9,98831.79999999981,96084.38863678757,6138.799999999814,lt-ml ml-mc mc-ct ml-mi ml-mk mk-k ml-t mc-cn
21c,9,192773.7999999998,96123.29031458632,6162.799999999814,lt-ml ml-mc mc-ct ml-mk mk-k mc-cn ml-t mi-t
22a,11,419648.3999999993,299878.93541255116,276444.39999999944,it2-mi_idx mc-mi_idx ct-mc t-mi_idx kt-t t-mi it1-mi t-mk k-mk cn-mc
22b,11,323827.0,299921.35046300193,276391.0,it2-mi_idx t-mi_idx kt-t t-mc ct-mc t-mi it1-mi t-mk k-mk cn-mc
22c,11,291111.7999999984,280334.66003571334,276202.5999999996,it2-mi_idx mc-mi_idx ct-mc cn-mc t-mi_idx kt-t t-mi it1-mi t-mk k-mk
22d,11,718488.4,280439.90914122254,276200.0,it2-mi_idx t-mi_idx kt-t mc-mi_idx ct-mc t-mi it1-mi t-mk k-mk cn-mc
23a,11,3131838.8000000007,297287.757188798,297211.0,mi-cc cct-cc it-mi t-mi kt-t mi-mc ct-mc cn-mc t-mk k-mk
23b,11,3131852.8,297287.5860175696,297211.0,mi-cc cct-cc it-mi t-mi kt-t mi-mc ct-mc t-mk k-mk cn-mc
23c,11,3131885.8000000007,297287.263963464,297211.0,mi-cc cct-cc it-mi t-mi kt-t t-mc ct-mc cn-mc t-mk k-mk
24a,12,1143622.0,1413719.4375999991,1066001.0,k-mk t-mk t-mi it-mi t-ci rt-ci t-mc n-ci n-an chn-ci cn-mc
24b,12,809443.5999999994,804790.6277811907,803858.199999999,cn-mc t-mc t-mi it-mi t-ci rt-ci t-mk k-mk n-ci n-an chn-ci
25a,9,1404336.1999999997,1296240.0950000002,1066113.0,k-mk mi-mk it1-mi mi-mi_idx it2-mi_idx t-mi t-ci n-ci
25b,9,1252252.0,1252713.6529199984,1066099.0,k-mk t-mk t-mi_idx it2-mi_idx t-mi it1-mi t-ci n-ci
25c,9,2148721.1999999997,1399362.0856999976,1066320.5999999996,k-mk mi-mk it1-mi mi-mi_idx it2-mi_idx t-mi t-ci n-ci
26a,12,457450.8000000119,162193.87980680584,27683.79999999702,cct1-cc cct2-cc cc-mi_idx it-mi_idx t-cc kt-t t-mk k-mk t-ci chn-ci n-ci
26b,12,385344.8000000119,162193.87332721587,27683.79999999702,cct1-cc cct2-cc cc-mi_idx it-mi_idx t-cc kt-t t-mk k-mk t-ci chn-ci n-ci
26c,12,1915914.800000003,162193.95375366145,27683.79999999702,cct1-cc cct2-cc t-cc kt-t t-mk k-mk t-mi_idx it-mi_idx t-ci chn-ci n-ci
27a,12,117047.59999999963,73271.29851103963,110917.19999999925,ml-cc cct1-cc cct2-cc lt-ml ml-mc mc-ct ml-mk mk-k t-cc mi-t mc-cn
27b,12,135521.59999999887,73271.31976757565,110917.19999999925,ml-cc cct1-cc cct2-cc ml-mi lt-ml ml-t mc-mi mc-ct t-mk mk-k mc-cn
27c,12,126477.59999999963,73271.29858442354,110653.19999999925,ml-cc cct1-cc cct2-cc lt-ml ml-mc mc-ct ml-mk mk-k ml-mi ml-t mc-cn
28a,14,281239.1999999994,162193.86346979206,29591.800000000745,cct1-cc cct2-cc mi_idx-cc it2-mi_idx mc-mi_idx ct-mc mi-mi_idx it1-mi t-mi kt-t t-mk k-mk cn-mc
28b,14,213585.20000000036,162193.9033960657,29611.800000000745,cct1-cc cct2-cc mi_idx-cc it2-mi_idx mi-mi_idx it1-mi t-mi kt-t t-mc ct-mc t-mk k-mk cn-mc
28c,14,332927.59999999916,162193.86291195682,27693.800000000745,cct1-cc cct2-cc mi_idx-cc it2-mi_idx mc-mi_idx ct-mc mi-mi_idx t-mi kt-t it1-mi t-mk k-mk cn-mc
30a,12,1128447.0,162193.97364030746,28446.800000000745,cct1-cc cct2-cc mi-cc it1-mi mi-mi_idx it2-mi_idx mi-mk k-mk t-mi t-ci n-ci
30b,12,237960.80000000075,162193.88799237105,28446.800000000745,cct1-cc cct2-cc t-cc t-mi it1-mi t-mi_idx it2-mi_idx t-mk k-mk t-ci n-ci
