query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
21b,2,9,14,1.662496120135389,314490.0814666614,11526.887937835672,24264.542897706593,102.07585554559486
21c,2,9,14,1.0527259761868748,399414.7369951652,7370.6751160820295,10081.604794971265,85.03524567833271
22a,2,11,16,0.99827172045864,3818566.3113374477,834074.5802742495,1882840.6910023685,1069.3499631098239
22b,2,11,16,0.9931968734020017,1830883.0952991154,13819657.855986793,27477301.10583758,18085.937358316318
22c,2,11,16,1.0,17276104.94099408,2833480.0222552465,5414022.942538267,1508.2237107591986
22d,2,11,16,1.0,56852473.80821093,225370.02793433826,536563.1263793332,161.4295406500481
23a,2,11,16,9.337233202499013,144640261.62790698,6317381.182751396,10071545.648331637,16669.281220684195
23b,2,11,16,9.337346179602612,142187413.37491336,1218037.2855360212,4001459.835729431,1763.297235734217
23c,2,11,16,9.333214039065327,388749055.978441,4227318.486146047,10536716.540959751,12042.210505395387
24a,2,12,18,1.098859938645143,276123337.5554148,3311554.369520823,5449286.243675698,2012.4472729915037
24b,2,12,18,0.9999950492696683,1859044.275943531,118228.2799061119,289928.4187640219,238.07847960276067
25a,2,9,14,0.5066729898154507,7399.490009949418,904.1147694832805,2439.689935957688,9.053823609865727
25b,2,9,14,0.5677938980613569,934134.2857142857,144028.89808199243,246297.47923599937,302.3406179302833
25c,2,9,14,0.5113668541014011,3148.1824191959713,522.3729573287335,1618.770072814675,7.423005053212611
26a,2,12,17,26.215192540924622,1898440000.0,873446.5932131085,2412121.1311317426,612.884469020559
26b,2,12,17,18.638074110177904,449860000.0,4982031.003996697,10267852.140891202,2648.269866688769
26c,2,12,17,8.2035392550912,1898440000.0,122044.37966161397,318855.3816953533,109.11697908277644
33a,2,14,19,4.079799361605107,44340059.187516816,15058.207737367055,45230.337865944064,14.995154901252139
33b,2,14,19,8.154152898768398,149133333.33333334,296814.7453535764,827246.1843912323,1484.0725748263956
33c,2,14,19,1.398489642885633,33423521.516421508,18161.892687480577,79153.9222477047,27.80451665288055
27a,3,12,21,1.0737950998732229,1226651248.9725406,76674.5617245391,178806.04826045682,533.18590486804
27b,3,12,21,2.9226373517949056,1134600000.0,233363.77123882013,589684.7151398344,491.35287177272403
27c,3,12,21,1.069412187677959,1344328701.5959158,109061.26039981554,389717.03427360934,785.4166428322
28a,3,14,23,3.9112707970230436,9581886933.307367,888274.6926100067,3396999.576809248,1096.7232098303593
28b,3,14,23,1.886885589196402,2535970000.0,2764570.8335049935,5994199.533615045,814.2237844295797
28c,3,14,23,1.2604966077450772,21541946514.61481,8774128.863098335,39830221.415841885,10106.69651313228
30a,3,12,21,1.4413112548374418,248369899.1220247,60494.064498123116,185867.12169269973,131.3546613729912
30b,3,12,21,1.7893110374783252,248473312.71314138,833621.7561108727,3070943.1592235896,1742.8102180168364
30c,3,12,21,1.086455815363888,250395055.75769165,8466.653801338454,24874.32318115943,17.02608752515191
31a,3,11,20,1.1406330788066463,63792.38174968606,46662.40064882992,109799.33626232347,95.46151571644018
31b,3,11,20,0.5504781989100164,266929.76359262824,61517.69031998709,126602.8392535458,150.5874969758145
31c,3,11,20,1.033845524072699,40314.10256410256,25297.22037395336,77496.79905191365,199.75168593046192
29a,3,17,28,34.454219988246905,23237280000.0,13184953.91006628,54157343.536932185,2585.582595270841
29b,3,17,28,22.208899655173514,11618640000.0,36079807.060571045,152326460.21559253,11240.453302942567
29c,3,17,28,1.1718914406873084,12882987544.590088,167544148.84220847,591121248.9677217,4962.992620822142
